4,100,5,2016-06-06
4,200,6,2016-06-06
4,100,5,2016-06-06
4,100,5,2016-06-06
4,100,5,2016-06-06
4,100,5,2016-06-06
4,100,5,2016-06-06
4,100,5,2016-06-06
4,100,5,2016-06-06
4,100,5,2016-06-06
4,100,5,2016-06-05
4,200,6,2016-06-05
4,100,5,2016-06-05
4,100,5,2016-06-05
4,100,5,2016-06-05
4,100,5,2016-06-05
4,100,5,2016-06-05
4,100,5,2016-06-05
4,100,5,2016-06-05
4,100,5,2016-06-05
4,100,5,2016-06-05
4,200,6,2016-06-05
4,100,5,2016-06-05
4,100,5,2016-06-05
4,100,5,2016-06-05
4,100,5,2016-06-04
4,100,5,2016-06-04
4,100,5,2016-06-04
4,100,5,2016-06-04
4,100,5,2016-06-04
4,100,5,2016-06-04
4,100,5,2016-06-04
4,100,5,2016-06-04
4,100,5,2016-06-03
4,100,5,2016-06-03
4,100,5,2016-06-03
4,100,5,2016-06-03
4,100,5,2016-06-03
4,100,5,2016-06-03
4,100,5,2016-06-02
4,100,5,2016-06-02
4,100,5,2016-06-02
4,100,5,2016-06-01
4,100,5,2016-06-01
4,100,5,2016-06-01
4,100,5,2016-06-01
4,100,5,2016-06-01
4,100,5,2016-06-01
1,100,5,2016-06-06
1,200,6,2016-06-06
1,100,5,2016-06-06
1,100,5,2016-06-06
1,100,5,2016-06-06
1,100,5,2016-06-06
1,100,5,2016-06-06
1,100,5,2016-06-06
1,100,5,2016-06-06
1,100,5,2016-06-06
1,100,5,2016-06-05
1,200,6,2016-06-05
1,100,5,2016-06-05
1,100,5,2016-06-05
1,100,5,2016-06-05
1,100,5,2016-06-05
1,100,5,2016-06-05
1,100,5,2016-06-05
1,100,5,2016-06-05
1,100,5,2016-06-05
1,100,5,2016-06-05
1,200,6,2016-06-05
1,100,5,2016-06-05
1,100,5,2016-06-05
1,100,5,2016-06-05
1,100,5,2016-06-04
1,100,5,2016-06-04
1,100,5,2016-06-04
1,100,5,2016-06-04
1,100,5,2016-06-04
1,100,5,2016-06-04
1,100,5,2016-06-04
1,100,5,2016-06-04
1,100,5,2016-06-03
1,100,5,2016-06-03
1,100,5,2016-06-03
1,100,5,2016-06-03
1,100,5,2016-06-03
1,100,5,2016-06-03
1,100,5,2016-06-02
1,100,5,2016-06-02
1,100,5,2016-06-02
1,100,5,2016-06-01
1,100,5,2016-06-01
1,100,5,2016-06-01
1,100,5,2016-06-01
1,100,5,2016-06-01
1,100,5,2016-06-01
